Array Element	Locus Identifier	Annotation
A_84_P72854	AT3G18500	similar to endonuclease/exonuclease/phosphatase family protein [Arabidopsis thaliana] (TAIR:AT1G73875.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO68025.1); contains InterPro domain Endonuclease/exonuclease/phosphatase (InterPro:IPR005135)
A_84_P23809	AT1G35460	basic helix-loop-helix (bHLH) family protein
A_84_P19882	AT1G03440	leucine-rich repeat family protein
A_84_P842524	AT5G41710	transposable element gene
A_84_P754341	AT1G53887;AT1G53910	"[AT1G53887, unknown protein];[AT1G53910, RAP2.12; DNA binding / transcription factor]"
A_84_P15123	AT1G02310	"glycosyl hydrolase family protein 5 / cellulase family protein / (1-4)-beta-mannan endohydrolase, putative"
A_84_P233279	AT1G64530	RWP-RK domain-containing protein
A_84_P258220	AT1G19660	wound-responsive family protein
A_84_P18482	AT3G61460	BRH1 (BRASSINOSTEROID-RESPONSIVE RING-H2); protein binding / zinc ion binding
A_84_P22723	AT1G61320	similar to F-box family protein [Arabidopsis thaliana] (TAIR:AT1G61330.1); similar to hypothetical protein [Vitis vinifera] (GB:CAN78502.1); contains InterPro domain FBD (InterPro:IPR013596); contains InterPro domain FBD-like (InterPro:IPR006566)
A_84_P10754	AT3G02090	MPPBETA; metalloendopeptidase
A_84_P24003	AT3G07690	glycerol-3-phosphate dehydrogenase (NAD+)
A_84_P814748	AT1G66680	AR401
A_84_P21413	AT4G26480	KH domain-containing protein
A_84_P554487	AT3G04990	similar to protein transport protein-related [Arabidopsis thaliana] (TAIR:AT5G27220.1); similar to hypothetical protein PY01156 [Plasmodium yoelii yoelii str. 17XNL] (GB:XP_728880.1)
A_84_P799882	AT5G18710	"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G18720.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO71037.1); contains InterPro domain Molecular chaperone, heat shock protein, Hsp40, DnaJ (InterPro:IPR015609)"
A_84_P843805	AT3G09340	amino acid transporter family protein
A_84_P21863	AT1G50090	aminotransferase class IV family protein
A_84_P17450	AT3G13570	SCL30a (SC35-like splicing factor 30a); RNA binding
A_84_P599072	AT3G27910	kelch repeat-containing protein
A_84_P183744	AT1G69550	"disease resistance protein (TIR-NBS class), putative"
A_84_P831737	AT5G54520	WD-40 repeat family protein
A_84_P851166	AT1G33270	patatin-related
A_84_P16668	AT4G23200	protein kinase family protein
A_84_P13749	AT3G60020	ASK5 (ARABIDOPSIS SKP1-LIKE 5); ubiquitin-protein ligase
A_84_P20019	AT1G17960	"threonyl-tRNA synthetase, putative / threonine--tRNA ligase, putative"
A_84_P755339	AT2G44580	protein binding / zinc ion binding
A_84_P13806	AT4G12890	gamma interferon responsive lysosomal thiol reductase family protein / GILT family protein
A_84_P17247	AT2G31570	ATGPX2 (GLUTATHIONE PEROXIDASE 2); glutathione peroxidase
A_84_P13309	AT1G65780	tRNA-splicing endonuclease positive effector-related
A_84_P264970	AT3G27750;AT3G27770	"[AT3G27750, similar to vacuolar sorting protein 9 domain-containing protein / VPS9 domain-containing protein [Arabidopsis thaliana] (TAIR:AT5G09320.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO45867.1)];[AT3G27770, similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G62960.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO14740.1)]"
A_84_P21585	AT5G41360	XPB2 (ARABIDOPSIS HOMOLOG OF XERODERMA PIGMENTOSUM COMPLEMENTATION GROUP B 2); ATP-dependent helicase
A_84_P798859	AT1G73970	similar to unnamed protein product [Vitis vinifera] (GB:CAO63616.1)
A_84_P545592	AT2G39650	"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT4G14620.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO69213.1); contains InterPro domain Protein of unknown function DUF506, plant (InterPro:IPR006502)"
A_84_P253455	AT5G35100	peptidyl-prolyl cis-trans isomerase
A_84_P814831	AT5G04430	"KH domain-containing protein NOVA, putative"
A_84_P81569	AT1G14310	haloacid dehalogenase-like hydrolase family protein
A_84_P14762	AT4G19630	heat shock factor protein-related / heat shock transcription factor-related
A_84_P532171	AT1G77620	nucleoside-triphosphatase/ nucleotide binding
A_84_P857242	AT2G16600	ROC3 (rotamase CyP 3); peptidyl-prolyl cis-trans isomerase
A_84_P22774	AT1G14020	"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT2G03280.1); similar to unknown protein [Arabidopsis thaliana] (TAIR:AT2G03280.2); similar to unknown [Populus trichocarpa] (GB:ABK94283.1); contains InterPro domain Protein of unknown function DUF246, plant (InterPro:IPR004348)"
A_84_P821318	AT1G28520	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT2G42400.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO66378.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO69825.1); similar to hypothetical protein [Vitis vinifera] (GB:CAN71043.1)
A_84_P20577	AT5G11540	FAD-binding domain-containing protein
A_84_P762501	AT3G14025	pseudogene of scarecrow transcription factor family protein
A_84_P17059	AT1G05190	EMB2394 (EMBRYO DEFECTIVE 2394); structural constituent of ribosome
A_84_P11560	AT2G41790	peptidase M16 family protein / insulinase family protein
A_84_P20645	AT1G49800	unknown protein
A_84_P813009	AT1G20330	SMT2 (STEROL METHYLTRANSFERASE 2)
A_84_P139309	AT4G15740	C2 domain-containing protein
A_84_P10979	AT4G18770;AT4G18780	"[AT4G18770, MYB98 (myb domain protein 98); DNA binding / transcription factor];[AT4G18780, CESA8 (CELLULOSE SYNTHASE 8); cellulose synthase/ transferase, transferring glycosyl groups]"
A_84_P765690	AT4G12731	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT4G12735.1)
A_84_P757747	AT2G35945;AT2G35940	"[AT2G35945, other RNA];[AT2G35940, BLH1 (embryo sac development arrest 29); DNA binding / transcription factor]"
A_84_P852955	AT4G28040	nodulin MtN21 family protein
A_84_P14420	AT2G41580	transposable element gene
A_84_P843583	AT2G29840	protein binding / zinc ion binding
A_84_P800959	AT4G15160	protease inhibitor/seed storage/lipid transfer protein (LTP) family protein
A_84_P10499	AT1G08250	ADT6 (AROGENATE DEHYDRATASE 6); arogenate dehydratase/ prephenate dehydratase
A_84_P10882	AT3G52905	"DNA binding / hydrolase, acting on ester bonds / nuclease/ nucleic acid binding / recombinase"
A_84_P16436	AT3G08040	FRD3 (FERRIC REDUCTASE DEFECTIVE 3); antiporter
A_84_P515477	AT2G48110	REF4
A_84_P207988	AT4G23910	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT4G10970.4); similar to unknown protein [Arabidopsis thaliana] (TAIR:AT4G10970.3); similar to unknown protein [Arabidopsis thaliana] (TAIR:AT4G10970.2); similar to unknown protein [Oryza sativa (japonica cultivar-group)] (GB:BAD05314.1)
A_84_P803285	AT1G07630	PLL5 (POL-like 5); protein serine/threonine phosphatase
A_84_P19201	AT2G30810	gibberellin-regulated family protein
A_84_P17827	AT5G48230	ACAT2/EMB1276 (ACETOACETYL-COA THIOLASE 2); acetyl-CoA C-acetyltransferase
A_84_P769014	AT5G43211	unknown protein
A_84_P255350	AT4G35440;AT4G35430	"[AT4G35440, CLC-E (CHLORIDE CHANNEL E); voltage-gated chloride channel];[AT4G35430, unknown protein]"
A_84_P240925	AT4G10970	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT4G23910.1); similar to unknown protein [Oryza sativa (japonica cultivar-group)] (GB:BAD05314.1)
A_84_P513461	AT1G51640	ATEXO70G2 (exocyst subunit EXO70 family protein G2); protein binding
A_84_P23521	AT5G53570	RabGAP/TBC domain-containing protein
A_84_P812251	AT3G48560	CSR1 (CHLORSULFURON/IMIDAZOLINONE RESISTANT 1)
A_84_P21921	AT1G29860	WRKY71 (WRKY DNA-binding protein 71); transcription factor
A_84_P134445	AT5G60760	2-phosphoglycerate kinase-related
A_84_P286480	AT5G11810	similar to Os02g0135600 [Oryza sativa (japonica cultivar-group)] (GB:NP_001045818.1); similar to predicted protein [Physcomitrella patens subsp. patens] (GB:EDQ79019.1)
A_84_P269440	AT1G77230	tetratricopeptide repeat (TPR)-containing protein
A_84_P769938	ATCG00900;ATCG01240	"[ATCG00900, encodes a chloroplast ribosomal protein S7, a constituent of the small subunit of the ribosomal complex];[ATCG01240, 30S chloroplast ribosomal protein S7]"
A_84_P61660	AT2G15220	"secretory protein, putative"
A_84_P816568	AT5G64860	DPE1 (DISPROPORTIONATING ENZYME); 4-alpha-glucanotransferase
A_84_P700385	AT4G40045	similar to unnamed protein product [Vitis vinifera] (GB:CAO46561.1)
A_84_P604053	AT1G34320	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G08660.1); similar to Os05g0430300 [Oryza sativa (japonica cultivar-group)] (GB:NP_001055623.1); similar to unknown protein [Oryza sativa (japonica cultivar-group)] (GB:BAD82727.1); contains InterPro domain Protein of unknown function DUF668 (InterPro:IPR007700)
A_84_P22411	AT4G39130	dehydrin family protein
A_84_P170663	AT3G14120	similar to hypothetical protein OsJ_033267 [Oryza sativa (japonica cultivar-group)] (GB:EAZ19058.1); similar to predicted protein [Physcomitrella patens subsp. patens] (GB:EDQ65731.1); similar to hypothetical protein OsI_021263 [Oryza sativa (indica cultivar-group)] (GB:EAZ00031.1); contains InterPro domain Nuclear pore protein 84/107; (InterPro:IPR007252)
A_84_P837809	AT3G53340	transcription factor
A_84_P825984	AT5G26600	catalytic/ pyridoxal phosphate binding
A_84_P524195	AT1G75060	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G19330.2); similar to unnamed protein product [Vitis vinifera] (GB:CAO61216.1)
A_84_P61370	AT1G59630	F-box family protein-related
A_84_P10197	AT5G22510	"beta-fructofuranosidase, putative / invertase, putative / saccharase, putative / beta-fructosidase, putative"
A_84_P530756	AT4G14770	tesmin/TSO1-like CXC domain-containing protein
A_84_P197484	AT2G38310	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G05440.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO48777.1); contains InterPro domain Bet v I allergen; (InterPro:IPR000916); contains InterPro domain Streptomyces cyclase/dehydrase (InterPro:IPR005031)
A_84_P869067	AT2G33120	SAR1 (SYNAPTOBREVIN-RELATED PROTEIN 1)
A_84_P751772	AT1G41850	transposable element gene
A_84_P15365	AT1G11240	similar to hypothetical protein OsI_011255 [Oryza sativa (indica cultivar-group)] (GB:EAY90022.1); similar to Os03g0353500 [Oryza sativa (japonica cultivar-group)] (GB:NP_001050128.1); contains domain PTHR14577 (PTHR14577)
A_84_P14739	AT4G10020	ATHSD5 (HYDROXYSTEROID DEHYDROGENASE 5); oxidoreductase
A_84_P12529	AT2G06510	"replication protein, putative"
A_84_P813787	AT1G49430	LACS2 (LONG-CHAIN ACYL-COA SYNTHETASE 2)
A_84_P573575	AT5G49680	"cell expansion protein, putative"
A_84_P604152	AT1G74870	protein binding / zinc ion binding
A_84_P611725	AT5G01570	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G08880.1); similar to unknown [Populus trichocarpa] (GB:ABK93784.1)
A_84_P539068	AT4G39290	kelch repeat-containing F-box family protein
A_84_P813199	AT1G03890	cupin family protein
A_84_P16728	AT4G37560	"formamidase, putative / formamide amidohydrolase, putative"
A_84_P11661	AT2G18980	"peroxidase, putative"
A_84_P832535	AT5G51490	pectinesterase family protein
A_84_P821757	AT3G02510	regulator of chromosome condensation (RCC1) family protein
A_84_P24069	AT3G16870	zinc finger (GATA type) family protein
A_84_P860303	AT3G23170	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT4G14450.1)
A_84_P18172	AT2G19970	"pathogenesis-related protein, putative"
A_84_P21330	AT3G44900	ATCHX4 (CATION/H+ EXCHANGER 4); monovalent cation:proton antiporter
A_84_P134415	AT2G37570	SLT1 (SODIUM- AND LITHIUM-TOLERANT 1)
A_84_P159915	AT4G27970	SLAH2 (SLAC1 HOMOLOGUE 2); transporter
A_84_P501388	AT3G51220	"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT2G17940.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO48220.1); similar to hypothetical protein [Vitis vinifera] (GB:CAN72990.1); contains InterPro domain Protein of unknown function DUF827, plant (InterPro:IPR008545)"
A_84_P11407	AT1G08440	"similar to ALMT1/ATALMT1 (AL-ACTIVATED MALATE TRANSPORTER 1), malate transmembrane transporter/ [Arabidopsis thaliana] (TAIR:AT1G08430.1); similar to putative aluminum activated malate transporter [Brassica napus] (GB:BAE97280.1); contains InterPro domain Protein of unknown function UPF0005 (InterPro:IPR006214)"
A_84_P770350	ATMG00030	hypothetical protein
A_84_P822897	AT3G14830	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G53450.2); similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G53450.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO39439.1)
A_84_P12957	AT4G40020	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G16730.1); similar to hypothetical protein [Vitis vinifera] (GB:CAN70653.1); contains domain PTHR23160 (PTHR23160)
A_84_P841062	AT1G22000	F-box family protein
A_84_P766757	AT5G07410	pectinesterase family protein
A_84_P85229	AT4G28310	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G52270.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO69747.1)
A_84_P760622	AT3G56275	pseudogene of unknown protein
A_84_P584450	AT1G27890	"CCR4-NOT transcription complex protein, putative"
A_84_P728305	AT1G69910	protein kinase family protein
A_84_P857080	AT1G12770	EMB1586 (EMBRYO DEFECTIVE 1586)
A_84_P10226	AT5G38150	PMI15 (plastid movement impaired 15)
A_84_P24181	AT4G03010	leucine-rich repeat family protein
A_84_P73254	AT1G26218;AT1G26220	"[AT1G26218, other RNA];[AT1G26220, GCN5-related N-acetyltransferase (GNAT) family protein]"
A_84_P15151	AT1G24130	transducin family protein / WD-40 repeat family protein
A_84_P57500	AT2G14045	similar to putative c-myc binding protein [Brassica rapa] (GB:ABL97988.1); contains domain PTHR13168 (PTHR13168)
A_84_P12202	AT5G61020	ECT3 (evolutionary conserved C-terminal 3)
A_84_P14644	AT3G48560	CSR1 (CHLORSULFURON/IMIDAZOLINONE RESISTANT 1)
A_84_P760386	AT3G30803	transposable element gene
A_84_P806597	AT1G29930	CAB1 (CHLOROPHYLL A/B BINDING PROTEIN 1); chlorophyll binding
A_84_P813598	AT3G54050	"fructose-1,6-bisphosphatase, putative / D-fructose-1,6-bisphosphate 1-phosphohydrolase, putative / FBPase, putative"
A_84_P756819	AT2G07733	"pseudogene, similar to NADH dehydrogenase subunit 2, blastp match of 94% identity and 2.0e-77 P-value to GP|1667390|gb|AAB18755.1||M81726 NADH dehydrogenase subunit 2 {Oenothera berteriana}"
A_84_P840189	AT3G53060	ASK6 (ARABIDOPSIS SKP1-LIKE 6); ubiquitin-protein ligase
A_84_P845020	AT1G02310	"glycosyl hydrolase family protein 5 / cellulase family protein / (1-4)-beta-mannan endohydrolase, putative"
A_84_P759779	AT3G42470	transposable element gene
A_84_P12635	AT1G01170	"ozone-responsive stress-related protein, putative"
A_84_P213128	AT5G44316	"ATP-binding-cassette transporter, putative"
A_84_P808714	AT3G52380	CP33 (PIGMENT DEFECTIVE 322); RNA binding
A_84_P757881	AT2G40010;AT2G40008	"[AT2G40010, 60S acidic ribosomal protein P0 (RPP0A)];[AT2G40008, other RNA]"
A_84_P14750	AT4G12650	"endomembrane protein 70, putative"
A_84_P536862	AT3G29034	unknown protein
A_84_P10128	AT4G15850	ATRH1 (Arabidopsis thaliana RNA helicase 1); ATP-dependent helicase
A_84_P194514	AT3G53370	DNA-binding S1FA family protein
A_84_P501377	AT3G47530	pentatricopeptide (PPR) repeat-containing protein
A_84_P23577	AT5G67500	"porin, putative"
A_84_P22706	AT1G03920	"protein kinase, putative"
A_84_P768165	AT5G39365	Encodes a defensin-like (DEFL) family protein.
A_84_P13935	AT5G05560	APC1 (EMBRYO DEFECTIVE 2771); ubiquitin-protein ligase
A_84_P839291	AT3G01930	nodulin family protein
A_84_P311323	AT5G28535	transposable element gene
A_84_P181854	AT3G17470	RelA/SpoT domain-containing protein / calcium-binding EF-hand family protein
A_84_P89769	AT2G35930	U-box domain-containing protein
A_84_P850308	AT4G14965	ATMAPR4 (ARABIDOPSIS THALIANA MEMBRANE-ASSOCIATED PROGESTERONE BINDING PROTEIN 4); heme binding / transition metal ion binding
A_84_P16342	AT2G26290	ARSK1 (ROOT-SPECIFIC KINASE 1); kinase
A_84_P11731	AT3G24500	ATMBF1C/MBF1C (MULTIPROTEIN BRIDGING FACTOR 1C); DNA binding / transcription coactivator/ transcription factor
A_84_P224509	AT5G55710	similar to tic20 protein-related [Arabidopsis thaliana] (TAIR:AT2G47840.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO45127.1)
A_84_P502792	AT1G34310	ARF12 (AUXIN RESPONSE FACTOR 12); transcription factor
A_84_P596350	AT3G15352	ATCOX17 (Arabidopsis thaliana cytochrome c oxidase 17)
A_84_P20980	AT1G79000	HAC1 (P300/CBP ACETYLTRANSFERASE-RELATED PROTEIN 2 GENE); H3/H4 histone acetyltransferase/ transcription cofactor
A_84_P840293	AT3G25805	similar to unnamed protein product [Vitis vinifera] (GB:CAO42121.1)
A_84_P536757	AT2G46160	zinc finger (C3HC4-type RING finger) family protein
A_84_P766812	AT5G28916	transposable element gene
A_84_P11710	AT1G53080	legume lectin family protein
A_84_P12739	AT3G45090	2-phosphoglycerate kinase-related
A_84_P737847	AT2G41312	other RNA
A_84_P18058	AT1G65930	"isocitrate dehydrogenase, putative / NADP+ isocitrate dehydrogenase, putative"
A_84_P563028	AT1G18335	GCN5-related N-acetyltransferase (GNAT) family protein
A_84_P553085	AT5G37650	binding
A_84_P299160	AT4G30630	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G57910.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO66657.1)
A_84_P19238	AT2G28980	transposable element gene
A_84_P832655	AT1G09470	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G26770.1); similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G26770.2); similar to unnamed protein product [Vitis vinifera] (GB:CAO17354.1)
A_84_P73754	AT2G03780	translin family protein
A_84_P753024	AT1G67265	DVL3/RTFL21 (ROTUNDIFOLIA LIKE 21)
A_84_P810803	AT3G55360	ATTSC13/CER10/ECR/TSC13 (ENOYL-COA REDUCTASE); 3-oxo-5-alpha-steroid 4-dehydrogenase/ fatty acid elongase/ trans-2-enoyl-CoA reductase (NADPH)
A_84_P18116	AT1G80580	ethylene-responsive element-binding family protein
A_84_P767044	AT5G03420	dentin sialophosphoprotein-related
A_84_P81279	AT1G11360	universal stress protein (USP) family protein
A_84_P10297	AT5G57980	eukaryotic rpb5 RNA polymerase subunit family protein
A_84_P814355	AT5G09230	SRT2; DNA binding
A_84_P794374	AT4G27260	GH3.5/WES1; indole-3-acetic acid amido synthetase
A_84_P824327	AT2G19860	ATHXK2 (HEXOKINASE 2); ATP binding / hexokinase
A_84_P828571	AT2G05210	ATPOT1A (PROTECTION OF TELOMERES 1A); telomeric DNA binding
A_84_P10758	AT3G04070	ANAC047 (Arabidopsis NAC domain containing protein 47); transcription factor
A_84_P750527	AT1G56350	"peptide chain release factor, putative"
A_84_P786697	AT1G50900;AT1G50910	"[AT1G50900, similar to hypothetical protein [Vitis vinifera] (GB:CAN65357.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO38995.1); contains InterPro domain Ankyrin (InterPro:IPR002110)];[AT1G50910, similar to unnamed protein product [Vitis vinifera] (GB:CAO68056.1)]"
A_84_P204788	AT4G16141	similar to zinc finger (GATA type) family protein [Arabidopsis thaliana] (TAIR:AT3G16870.1); contains domain Glucocorticoid receptor-like (DNA-binding domain) (SSF57716)
