Array Element,Annotation
258670_at,kelch repeat-containing F-box family protein
257935_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT2G28480.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO46979.1); contains InterPro domain CRS1/YhbY (InterPro:IPR001890)
255389_at,no_match
250385_at,ASP3 (ASPARTATE AMINOTRANSFERASE 3)
250175_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G01690.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO14651.1); contains InterPro domain Alpha/beta hydrolase fold-1 (InterPro:IPR000073)
251929_at,SIGC (RNA polymerase sigma subunit C); DNA binding / DNA-directed RNA polymerase/ transcription factor
249605_at,unknown protein
251248_at,PGP21 (P-GLYCOPROTEIN 21); ATPase_ coupled to transmembrane movement of substances
245841_s_at,[AT1G58380_ XW6; structural constituent of ribosome];[AT1G58684_ 40S ribosomal protein S2_ putative];[AT1G59359_ 40S ribosomal protein S2 (RPS2B)];[AT1G58983_ 40S ribosomal protein S2_ putative]
265832_at,transposable element gene
259083_at,ATNEK2; kinase
258668_at,no_match
266036_s_at,[AT2G05840_ PAA2 (20S PROTEASOME SUBUNIT PAA2); peptidase];[AT5G35590_ PAA1 (20S proteasome alpha subunit A1); peptidase]
265015_at,transposable element gene
259415_at,similar to unnamed protein product [Vitis vinifera] (GB:CAO40200.1); contains InterPro domain Hepatocellular carcinoma-associated antigen 59 (InterPro:IPR010756)
251517_at,contains domain PTHR22683 (PTHR22683)
248027_at,KCO1 (TWO PORE K CHANNEL); calcium-activated potassium channel/ outward rectifier potassium channel
263413_at,ATBPC4/BBR/BPC4/BPC4 (BASIC PENTACYSTEINE 4); DNA binding / transcription factor
254905_at,disease resistance protein (TIR-NBS-LRR class)_ putative
267510_at,SAP18 (SIN3 ASSOCIATED POLYPEPTIDE P18); protein binding / transcription regulator
266150_s_at,[AT2G12290_ similar to protein binding / zinc ion binding [Arabidopsis thaliana] (TAIR:AT4G19700.1); similar to unknown [Populus trichocarpa] (GB:ABK94891.1)];[AT4G19700_ protein binding / zinc ion binding]
265526_x_at,transposable element gene
265605_at,CESA10 (CELLULOSE SYNTHASE 10); transferase_ transferring glycosyl groups
257354_x_at,transposable element gene
246637_at,zinc knuckle (CCHC-type) family protein
251961_at,ATPPA4 (ARABIDOPSIS THALIANA PYROPHOSPHORYLASE 4); inorganic diphosphatase/ pyrophosphatase
248953_at,[AT5G45430_ protein kinase_ putative];[AT5G45428_ CPuORF24 (Conserved peptide upstream open reading frame 24)]
247542_at,autophagy 3 (APG3)
245755_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G22470.1); similar to hypothetical protein [Vitis vinifera] (GB:CAN82663.1)
257086_at,similar to hypothetical protein [Vitis vinifera] (GB:CAN63914.1)
246122_at,transporter-related
265637_at,ATCOAE; ATP binding / dephospho-CoA kinase
264210_at,MYB3 (myb domain protein 3); DNA binding / transcription factor
260533_at,no_match
260726_at,signal recognition particle 19 kDa protein_ putative / SRP19_ putative
246050_s_at,[AT5G28850_ calcium-binding EF hand family protein];[AT5G28900_ calcium-binding EF hand family protein]
264803_at,similar to Pm52 [Prunus mume] (GB:BAE48663.1)
246750_at,no_match
260132_s_at,[AT1G66640_ similar to F-box family protein [Arabidopsis thaliana] (TAIR:AT1G66320.1); similar to hypothetical protein [Vitis vinifera] (GB:CAN74740.1); contains InterPro domain Leucine-rich repeat 2 (InterPro:IPR013101); contains InterPro domain FBD (InterPro:IPR013596); contains InterPro domain FBD-like (InterPro:IPR006566)];[AT1G66320_ F-box family protein]
260295_at,peptidase M1 family protein
251394_at,FLA10 (fasciclin-like arabinogalactan-protein 10)
266568_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT4G30710.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO66643.1); contains InterPro domain Protein of unknown function DUF566 (InterPro:IPR007573)
251750_at,UDP-glucoronosyl/UDP-glucosyl transferase family protein
250932_s_at,[AT5G03220_ transcriptional co-activator-related];[AT5G03500_ transcription coactivator]
247005_at,adenylylsulfate kinase_ putative
245070_at,plant EC metallothionein-like family 15 protein
264372_at,ATGLX1 (GLYOXALASE I HOMOLOG); lactoylglutathione lyase
251105_at,WAVE3
247546_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT2G16505.1)
259332_at,auxin-responsive protein_ putative
264984_at,bZIP family transcription factor
254933_at,RDR2 (RNA-DEPENDENT RNA POLYMERASE 2); RNA-directed RNA polymerase
265967_at,nodulin MtN21 family protein
251435_at,no_match
263590_at,leucine-rich repeat protein kinase_ putative
266610_at,transposable element gene
256902_s_at,[AT3G23910_ similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G24255.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO43499.1)];[AT3G24255_ similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G23910.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO43499.1); contains InterPro domain RNA-directed DNA polymerase (reverse transcriptase)_ related (InterPro:IPR015706)]
255519_at,kelch repeat-containing F-box family protein
253637_at,similar to hypothetical protein MtrDRAFT_AC148994g36v2 [Medicago truncatula] (GB:ABN05865.1)
266825_at,small conjugating protein ligase
249939_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT2G27385.1); similar to hypothetical protein [Vitis vinifera] (GB:CAN68427.1)
250279_at,GRAM domain-containing protein / ABA-responsive protein-related
247952_at,similar to pentatricopeptide (PPR) repeat-containing protein [Arabidopsis thaliana] (TAIR:AT1G62910.1); similar to hypothetical protein [Vitis vinifera] (GB:CAN75781.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO49923.1); similar to Tetratricopeptide-like helical [Medicago truncatula] (GB:ABD28636.1); contains InterPro domain Pentatricopeptide repeat (InterPro:IPR002885)
262928_at,F-box family protein
